# Title: December 2024 Contiguous U.S. County Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
# Note: Period of Record: 130 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
MS-059,Jackson County,Mississippi,54.5,2.5,91,52
MS-061,Jasper County,Mississippi,51.6,3.7,110,47.9
MS-063,Jefferson County,Mississippi,51.8,2.8,98,49
MS-065,Jefferson Davis County,Mississippi,52.7,3.5,104,49.2
MS-067,Jones County,Mississippi,51.7,2.6,95,49.1
MS-069,Kemper County,Mississippi,48.7,2.3,94,46.4
MS-071,Lafayette County,Mississippi,47.8,4.2,112,43.6
MS-073,Lamar County,Mississippi,52.5,2.5,95,50
MS-075,Lauderdale County,Mississippi,50.1,3,100,47.1
MS-077,Lawrence County,Mississippi,53.1,3.7,107,49.4
MS-079,Leake County,Mississippi,50.5,4.3,113,46.2
MS-081,Lee County,Mississippi,47.6,4,110,43.6
MS-083,Leflore County,Mississippi,51.1,5.7,120,45.4
MS-085,Lincoln County,Mississippi,52.5,3.4,105,49.1
MS-087,Lowndes County,Mississippi,48,2.6,93,45.4
MS-089,Madison County,Mississippi,51.6,4.2,113,47.4
MS-091,Marion County,Mississippi,53.3,3.1,99,50.2
MS-093,Marshall County,Mississippi,47.2,4.8,114,42.4
MS-095,Monroe County,Mississippi,47.8,3.2,98,44.6
MS-097,Montgomery County,Mississippi,49.5,4.7,115,44.8
MS-099,Neshoba County,Mississippi,49.5,3.5,102,46
MS-101,Newton County,Mississippi,50.7,3.9,107,46.8
MS-103,Noxubee County,Mississippi,48,2.2,89,45.8
MS-105,Oktibbeha County,Mississippi,48,2.8,95,45.2
MS-107,Panola County,Mississippi,48.5,4.7,117,43.8
MS-109,Pearl River County,Mississippi,54.2,3.3,101,50.9
MS-111,Perry County,Mississippi,52,2,90,50
MS-113,Pike County,Mississippi,53.1,3.3,104,49.8
MS-115,Pontotoc County,Mississippi,47.5,3.9,108,43.6
MS-117,Prentiss County,Mississippi,46.4,4.1,110,42.3
MS-119,Quitman County,Mississippi,48.8,4.9,116,43.9
MS-121,Rankin County,Mississippi,52.6,4.9,118,47.7
MS-123,Scott County,Mississippi,51.3,4.4,116,46.9
MS-125,Sharkey County,Mississippi,51.4,4.6,117,46.8
MS-127,Simpson County,Mississippi,53,4.8,117,48.3
MS-129,Smith County,Mississippi,52.2,4.3,115,47.9
MS-131,Stone County,Mississippi,53.2,2.3,90,50.9
MS-133,Sunflower County,Mississippi,50,4.8,116,45.2
MS-135,Tallahatchie County,Mississippi,49.6,5.1,116,44.5
MS-137,Tate County,Mississippi,47.9,4.7,116,43.2
MS-139,Tippah County,Mississippi,46.2,4.4,113,41.8
MS-141,Tishomingo County,Mississippi,45.6,3.7,106,41.9
MS-143,Tunica County,Mississippi,48,4.7,116,43.3
MS-145,Union County,Mississippi,47.2,4.3,111,42.9
MS-147,Walthall County,Mississippi,53.4,3.4,103,50
MS-149,Warren County,Mississippi,52.5,4.4,116,48.1
MS-151,Washington County,Mississippi,50.2,4.4,114,45.8
MS-153,Wayne County,Mississippi,51.3,2.3,92,49
MS-155,Webster County,Mississippi,48.3,3.7,107,44.6
MS-157,Wilkinson County,Mississippi,53.6,3.2,104,50.4
MS-159,Winston County,Mississippi,48.3,2.9,96,45.4
MS-161,Yalobusha County,Mississippi,48.6,4.3,114,44.3
MS-163,Yazoo County,Mississippi,51.8,4.4,115,47.4
MO-001,Adair County,Missouri,32.9,5,108,27.9
MO-003,Andrew County,Missouri,34.8,6.1,116,28.7
MO-005,Atchison County,Missouri,33.5,6,115,27.5
MO-007,Audrain County,Missouri,35.1,4.1,102,31
MO-009,Barry County,Missouri,42.1,5.6,118,36.5
MO-011,Barton County,Missouri,40.1,4.3,109,35.8
MO-013,Bates County,Missouri,38.9,5.1,116,33.8
MO-015,Benton County,Missouri,37.8,4.2,107,33.6
MO-017,Bollinger County,Missouri,40,4.5,111,35.5
MO-019,Boone County,Missouri,36.5,4.6,107,31.9
MO-021,Buchanan County,Missouri,36,6.2,118,29.8
MO-023,Butler County,Missouri,42.2,4.6,112,37.6
MO-025,Caldwell County,Missouri,34.4,5,109,29.4
MO-027,Callaway County,Missouri,37.1,4.8,110,32.3
MO-029,Camden County,Missouri,39.2,4.7,112,34.5
MO-031,Cape Girardeau County,Missouri,40.1,4.5,109,35.6
MO-033,Carroll County,Missouri,34.7,4.1,99,30.6
MO-035,Carter County,Missouri,40.2,4.5,111,35.7
MO-037,Cass County,Missouri,38,5.8,123,32.2
MO-039,Cedar County,Missouri,40.7,5.4,117,35.3
MO-041,Chariton County,Missouri,34.6,4.1,99,30.5
MO-043,Christian County,Missouri,40.2,5,115,35.2
MO-045,Clark County,Missouri,32.4,3.8,93,28.6
MO-047,Clay County,Missouri,35.9,5.2,111,30.7
MO-049,Clinton County,Missouri,35.1,5.7,114,29.4
MO-051,Cole County,Missouri,38.4,4.8,109,33.6
MO-053,Cooper County,Missouri,37,4.8,107,32.2
MO-055,Crawford County,Missouri,38.2,4.5,111,33.7
MO-057,Dade County,Missouri,41,5.4,118,35.6
MO-059,Dallas County,Missouri,39.6,5.1,112,34.5
MO-061,Daviess County,Missouri,34,5.1,111,28.9
MO-063,DeKalb County,Missouri,34.6,5.9,116,28.7
MO-065,Dent County,Missouri,38,3.9,104,34.1
MO-067,Douglas County,Missouri,40.5,5.3,113,35.2
MO-069,Dunklin County,Missouri,43.9,4.9,116,39
MO-071,Franklin County,Missouri,38.1,4.9,109,33.2
MO-073,Gasconade County,Missouri,38,5,109,33
MO-075,Gentry County,Missouri,33.5,5.8,114,27.7
MO-077,Greene County,Missouri,40.4,5.5,117,34.9
MO-079,Grundy County,Missouri,33.6,4.6,107,29
MO-081,Harrison County,Missouri,32.6,5.2,111,27.4
MO-083,Henry County,Missouri,38.4,4.8,112,33.6
MO-085,Hickory County,Missouri,39.2,4.8,114,34.4
MO-087,Holt County,Missouri,34.4,5.8,115,28.6
MO-089,Howard County,Missouri,35.8,4.4,107,31.4
MO-091,Howell County,Missouri,41.6,6.2,120,35.4
MO-093,Iron County,Missouri,38.2,4.3,110,33.9
MO-095,Jackson County,Missouri,36.9,5.5,119,31.4
MO-097,Jasper County,Missouri,41.7,5.4,119,36.3
MO-099,Jefferson County,Missouri,39,4.9,112,34.1
MO-101,Johnson County,Missouri,37.3,5.4,115,31.9
MO-103,Knox County,Missouri,33.1,4.7,104,28.4
MO-105,Laclede County,Missouri,39.8,5.1,113,34.7
MO-107,Lafayette County,Missouri,36,4.9,110,31.1
MO-109,Lawrence County,Missouri,41,5.4,117,35.6
MO-111,Lewis County,Missouri,33.5,4.2,99,29.3
MO-113,Lincoln County,Missouri,36.5,4.8,109,31.7
MO-115,Linn County,Missouri,34.1,4.6,106,29.5
MO-117,Livingston County,Missouri,34.5,4.5,108,30
MO-119,McDonald County,Missouri,43.5,6.2,122,37.3
MO-121,Macon County,Missouri,34.3,5.2,108,29.1
MO-123,Madison County,Missouri,38.8,4.2,111,34.6
MO-125,Maries County,Missouri,39.4,5.1,113,34.3
MO-127,Marion County,Missouri,34.6,4.6,103,30
MO-129,Mercer County,Missouri,32.1,4.6,104,27.5
MO-131,Miller County,Missouri,39.1,4.9,111,34.2
MO-133,Mississippi County,Missouri,42.6,5,115,37.6
MO-135,Moniteau County,Missouri,37.6,4.7,108,32.9
MO-137,Monroe County,Missouri,34.6,4.3,101,30.3
MO-139,Montgomery County,Missouri,36.1,4.5,104,31.6
MO-141,Morgan County,Missouri,37.6,4.6,110,33
MO-143,New Madrid County,Missouri,43.2,5,117,38.2
MO-145,Newton County,Missouri,42.8,6.2,122,36.6
MO-147,Nodaway County,Missouri,33,5.9,113,27.1
MO-149,Oregon County,Missouri,41.6,5.7,119,35.9
MO-151,Osage County,Missouri,38.7,5.1,111,33.6
MO-153,Ozark County,Missouri,41.5,5.3,113,36.2
MO-155,Pemiscot County,Missouri,44.2,4.9,116,39.3
MO-157,Perry County,Missouri,39.1,4.4,109,34.7
MO-159,Pettis County,Missouri,37.1,4.8,110,32.3
MO-161,Phelps County,Missouri,39.3,4.7,111,34.6
MO-163,Pike County,Missouri,35.3,4.4,104,30.9
MO-165,Platte County,Missouri,36.2,5.6,116,30.6
MO-167,Polk County,Missouri,40.4,5.6,117,34.8
MO-169,Pulaski County,Missouri,40,5.2,113,34.8
MO-171,Putnam County,Missouri,31.8,4.3,102,27.5
MO-173,Ralls County,Missouri,35,4.5,104,30.5
MO-175,Randolph County,Missouri,34.6,4.3,101,30.3
MO-177,Ray County,Missouri,35.1,4.7,106,30.4
MO-179,Reynolds County,Missouri,38.3,3.9,106,34.4
MO-181,Ripley County,Missouri,42,5.2,116,36.8
MO-183,St. Charles County,Missouri,38.1,5.1,110,33
MO-185,St. Clair County,Missouri,39.4,4.7,112,34.7
MO-186,Ste. Genevieve County,Missouri,39,4.5,109,34.5
MO-187,St. Francois County,Missouri,38.7,4.7,111,34
MO-189,St. Louis County,Missouri,38.8,5.1,110,33.7
MO-195,Saline County,Missouri,35.5,4.1,101,31.4
MO-197,Schuyler County,Missouri,31.8,4.4,100,27.4
MO-199,Scotland County,Missouri,32,4.2,97,27.8
MO-201,Scott County,Missouri,41.6,4.8,110,36.8
MO-203,Shannon County,Missouri,40,5,113,35
MO-205,Shelby County,Missouri,33.9,4.6,106,29.3
MO-207,Stoddard County,Missouri,42.2,4.8,114,37.4
MO-209,Stone County,Missouri,41.2,4.8,115,36.4
MO-211,Sullivan County,Missouri,32.8,4.5,104,28.3
MO-213,Taney County,Missouri,41.3,4.8,114,36.5
MO-215,Texas County,Missouri,39.9,5.2,114,34.7
MO-217,Vernon County,Missouri,39.6,4.6,111,35
MO-219,Warren County,Missouri,37.1,5,108,32.1
MO-221,Washington County,Missouri,38.7,5.1,113,33.6
MO-223,Wayne County,Missouri,39.8,4,108,35.8
MO-225,Webster County,Missouri,39.3,5.1,114,34.2
MO-227,Worth County,Missouri,32.2,5.7,112,26.5
MO-229,Wright County,Missouri,39.7,5.2,114,34.5
MO-510,St. Louis City,Missouri,39.2,5.2,110,34
MT-001,Beaverhead County,Montana,27.3,8.3,126,19
MT-003,Big Horn County,Montana,33,9.6,126,23.4
MT-005,Blaine County,Montana,25.4,6.7,104,18.7
MT-007,Broadwater County,Montana,33.3,10.3,130,23
MT-009,Carbon County,Montana,33.3,10.7,129,22.6
MT-011,Carter County,Montana,28.1,8.1,123,20
MT-013,Cascade County,Montana,34.4,10.3,129,24.1
MT-015,Chouteau County,Montana,31.2,9.4,123,21.8
MT-017,Custer County,Montana,28.9,8.7,125,20.2
MT-019,Daniels County,Montana,18.1,5.9,98,12.3
MT-021,Dawson County,Montana,24.4,7.1,108,17.3
MT-023,Deer Lodge County,Montana,28,7.9,128,20.1
MT-025,Fallon County,Montana,26.3,7.2,119,19.1
MT-027,Fergus County,Montana,31.9,8.8,126,23.1
MT-029,Flathead County,Montana,30.2,8.4,129,21.8
MT-031,Gallatin County,Montana,29.9,9.8,130,20.1
MT-033,Garfield County,Montana,28,8.2,119,19.8
MT-035,Glacier County,Montana,31.4,10.7,129,20.7
MT-037,Golden Valley County,Montana,34,9.4,128,24.6
MT-039,Granite County,Montana,29.2,7.9,129,21.3
MT-041,Hill County,Montana,25.7,8.7,113,17
MT-043,Jefferson County,Montana,31.9,9.4,130,22.5
MT-045,Judith Basin County,Montana,32.5,9.3,128,23.2
MT-047,Lake County,Montana,31.7,7.2,128,24.5
MT-049,Lewis and Clark County,Montana,32.5,10.2,129,22.3
MT-051,Liberty County,Montana,28.8,10.2,124,18.6
MT-053,Lincoln County,Montana,30.3,7.8,128,22.5
MT-055,McCone County,Montana,23.6,6.9,106,16.7
MT-057,Madison County,Montana,29.8,9.1,129,20.7
MT-059,Meagher County,Montana,30.8,9.7,129,21.1
MT-061,Mineral County,Montana,30.6,6.6,126,24
MT-063,Missoula County,Montana,30.5,7.9,129,22.6
MT-065,Musselshell County,Montana,34,9.6,126,24.4
MT-067,Park County,Montana,29.7,9.5,130,20.2
MT-069,Petroleum County,Montana,31.5,8.4,122,23.1
MT-071,Phillips County,Montana,23.3,5.6,100,17.7
MT-073,Pondera County,Montana,32,10.6,128,21.4
MT-075,Powder River County,Montana,30.8,9,126,21.8
MT-077,Powell County,Montana,29.7,8.9,129,20.8
MT-079,Prairie County,Montana,26.3,7.4,115,18.9
MT-081,Ravalli County,Montana,29.4,7.2,125,22.2
MT-083,Richland County,Montana,21.3,5.7,99,15.6
MT-085,Roosevelt County,Montana,19.6,5.8,96,13.8
MT-087,Rosebud County,Montana,30.4,9,124,21.4
MT-089,Sanders County,Montana,30.4,6,125,24.4
MT-091,Sheridan County,Montana,16.7,4.7,90,12
MT-093,Silver Bow County,Montana,30.3,9.1,128,21.2
MT-095,Stillwater County,Montana,34.5,10.2,129,24.3
MT-097,Sweet Grass County,Montana,34.3,9.8,129,24.5
MT-099,Teton County,Montana,33.5,10.9,129,22.6
MT-101,Toole County,Montana,30.3,10.5,126,19.8
MT-103,Treasure County,Montana,32,9.6,124,22.4
MT-105,Valley County,Montana,20.4,5.5,98,14.9
MT-107,Wheatland County,Montana,32.9,8.8,127,24.1
MT-109,Wibaux County,Montana,24.6,6.4,105,18.2
MT-111,Yellowstone County,Montana,34.6,10,127,24.6
NE-001,Adams County,Nebraska,32.9,6.5,122,26.4
NE-003,Antelope County,Nebraska,29.6,6.5,121,23.1
NE-005,Arthur County,Nebraska,34.9,9.6,130,25.3
NE-007,Banner County,Nebraska,36.6,9.6,130,27
NE-009,Blaine County,Nebraska,32.4,7.3,124,25.1
NE-011,Boone County,Nebraska,30.2,6.8,117,23.4
NE-013,Box Butte County,Nebraska,34.4,9.2,130,25.2
NE-015,Boyd County,Nebraska,29.8,6.7,119,23.1
NE-017,Brown County,Nebraska,31.5,7.2,122,24.3
NE-019,Buffalo County,Nebraska,33.1,7.6,127,25.5
NE-021,Burt County,Nebraska,29.9,6.5,115,23.4
NE-023,Butler County,Nebraska,30.7,5.6,111,25.1
NE-025,Cass County,Nebraska,32.5,6.3,116,26.2
NE-027,Cedar County,Nebraska,28.3,6.3,114,22
NE-029,Chase County,Nebraska,37.2,9.6,130,27.6
NE-031,Cherry County,Nebraska,32.1,8,128,24.1
NE-033,Cheyenne County,Nebraska,35.9,9,130,26.9
NE-035,Clay County,Nebraska,32.2,5.8,115,26.4
NE-037,Colfax County,Nebraska,30.8,6.6,119,24.2
NE-039,Cuming County,Nebraska,29.2,5.9,113,23.3
NE-041,Custer County,Nebraska,32.9,7.9,127,25
NE-043,Dakota County,Nebraska,28.5,6.1,113,22.4
NE-045,Dawes County,Nebraska,34.6,9.3,130,25.3
NE-047,Dawson County,Nebraska,33.4,7.1,125,26.3
NE-049,Deuel County,Nebraska,35.8,8.9,130,26.9
NE-051,Dixon County,Nebraska,28.1,5.9,111,22.2
NE-053,Dodge County,Nebraska,30.5,6.2,114,24.3
NE-055,Douglas County,Nebraska,31.5,6.2,115,25.3
NE-057,Dundy County,Nebraska,37.8,9.3,130,28.5
NE-059,Fillmore County,Nebraska,32.5,5.9,113,26.6
NE-061,Franklin County,Nebraska,34.2,6.9,126,27.3
NE-063,Frontier County,Nebraska,35.1,8,129,27.1
NE-065,Furnas County,Nebraska,34.7,6.9,124,27.8
NE-067,Gage County,Nebraska,33.3,6,116,27.3
NE-069,Garden County,Nebraska,34.5,9.1,130,25.4
NE-071,Garfield County,Nebraska,31,7.5,124,23.5
NE-073,Gosper County,Nebraska,33.8,6.8,125,27
NE-075,Grant County,Nebraska,34,9.6,130,24.4
NE-077,Greeley County,Nebraska,30.4,6.5,118,23.9
NE-079,Hall County,Nebraska,32.2,6.5,119,25.7
NE-081,Hamilton County,Nebraska,31.9,6,114,25.9
NE-083,Harlan County,Nebraska,34.4,6.6,124,27.8
NE-085,Hayes County,Nebraska,36.4,8.9,130,27.5
NE-087,Hitchcock County,Nebraska,37,8.5,130,28.5
NE-089,Holt County,Nebraska,30.3,7.2,121,23.1
NE-091,Hooker County,Nebraska,33.3,8.2,130,25.1
NE-093,Howard County,Nebraska,31.5,6.4,119,25.1
NE-095,Jefferson County,Nebraska,33.3,6.1,114,27.2
NE-097,Johnson County,Nebraska,32.9,5.5,114,27.4
NE-099,Kearney County,Nebraska,33.7,7.4,126,26.3
NE-101,Keith County,Nebraska,36.1,9.5,130,26.6
NE-103,Keya Paha County,Nebraska,30.4,7.1,121,23.3
NE-105,Kimball County,Nebraska,36,9.3,130,26.7
NE-107,Knox County,Nebraska,28.9,6.3,115,22.6
NE-109,Lancaster County,Nebraska,33,6.7,119,26.3
NE-111,Lincoln County,Nebraska,35.1,8.8,130,26.3
NE-113,Logan County,Nebraska,33.3,7.7,125,25.6
NE-115,Loup County,Nebraska,31.9,7.9,126,24
NE-117,McPherson County,Nebraska,34.2,8.7,130,25.5
NE-119,Madison County,Nebraska,30.2,6.9,120,23.3
NE-121,Merrick County,Nebraska,31.5,6.2,116,25.3
NE-123,Morrill County,Nebraska,35.5,9.4,130,26.1
NE-125,Nance County,Nebraska,30.9,6.5,117,24.4
NE-127,Nemaha County,Nebraska,33.6,5.7,117,27.9
NE-129,Nuckolls County,Nebraska,33.6,6.6,122,27
NE-131,Otoe County,Nebraska,32.9,6,116,26.9
NE-133,Pawnee County,Nebraska,33.4,5.5,113,27.9
NE-135,Perkins County,Nebraska,36.4,9.6,130,26.8
NE-137,Phelps County,Nebraska,33.6,7,125,26.6
NE-139,Pierce County,Nebraska,29.2,6.6,119,22.6
NE-141,Platte County,Nebraska,30.6,6.6,118,24
NE-143,Polk County,Nebraska,30.9,5.7,111,25.2
NE-145,Red Willow County,Nebraska,36,8.2,129,27.8
NE-147,Richardson County,Nebraska,34.1,5.7,115,28.4
NE-149,Rock County,Nebraska,30.9,7.4,123,23.5
NE-151,Saline County,Nebraska,33.1,6.5,115,26.6
NE-153,Sarpy County,Nebraska,32,6.3,115,25.7
NE-155,Saunders County,Nebraska,31.7,6.4,116,25.3
NE-157,Scotts Bluff County,Nebraska,36.3,9.6,130,26.7
NE-159,Seward County,Nebraska,32.2,6.2,115,26
NE-161,Sheridan County,Nebraska,33.2,9.3,130,23.9
NE-163,Sherman County,Nebraska,31.9,7.2,124,24.7
NE-165,Sioux County,Nebraska,33.8,9.2,130,24.6
NE-167,Stanton County,Nebraska,30.2,6.7,120,23.5
NE-169,Thayer County,Nebraska,33.5,6.3,117,27.2
NE-171,Thomas County,Nebraska,32.5,6.9,124,25.6
NE-173,Thurston County,Nebraska,28.7,5.9,114,22.8
NE-175,Valley County,Nebraska,31.1,7.1,122,24
NE-177,Washington County,Nebraska,30.9,6.3,115,24.6
NE-179,Wayne County,Nebraska,28.9,6.2,114,22.8
NE-181,Webster County,Nebraska,33.9,6.9,126,27
NE-183,Wheeler County,Nebraska,30.3,7,121,23.3
NE-185,York County,Nebraska,31.6,5.6,111,26
NV-001,Churchill County,Nevada,37.4,6.1,126,31.3
NV-003,Clark County,Nevada,50.7,6.5,129,44.2
NV-005,Douglas County,Nevada,38,5.5,123,32.5
NV-007,Elko County,Nevada,33,7,126,26
NV-009,Esmeralda County,Nevada,38.1,6.1,127,32
NV-011,Eureka County,Nevada,34.7,7.7,127,27
NV-013,Humboldt County,Nevada,35.4,5.7,122,29.7
NV-015,Lander County,Nevada,36.2,7,126,29.2
NV-017,Lincoln County,Nevada,42.5,6.9,129,35.6
NV-019,Lyon County,Nevada,37.9,5.6,124,32.3
NV-021,Mineral County,Nevada,38.1,7.2,129,30.9
NV-023,Nye County,Nevada,38.9,6.8,128,32.1
NV-027,Pershing County,Nevada,36.5,5.6,122,30.9
NV-029,Storey County,Nevada,37.4,4.7,123,32.7
NV-031,Washoe County,Nevada,35.9,4.9,121,31
NV-033,White Pine County,Nevada,34.6,7.7,128,26.9
NV-510,Carson City,Nevada,38.4,5.6,123,32.8
NH-001,Belknap County,New Hampshire,25.9,2.3,84,23.6
NH-003,Carroll County,New Hampshire,24.4,2.8,88,21.6
NH-005,Cheshire County,New Hampshire,26.2,2.6,85,23.6
NH-007,Coos County,New Hampshire,21.1,4.1,99,17
NH-009,Grafton County,New Hampshire,23.2,3.3,93,19.9
NH-011,Hillsborough County,New Hampshire,28.1,3,91,25.1
NH-013,Merrimack County,New Hampshire,26.4,2.7,88,23.7
NH-015,Rockingham County,New Hampshire,29.4,2.8,89,26.6
NH-017,Strafford County,New Hampshire,27.7,2.4,84,25.3
NH-019,Sullivan County,New Hampshire,24.8,2.9,91,21.9
NJ-001,Atlantic County,New Jersey,37.5,2.5,84,35
NJ-003,Bergen County,New Jersey,34.7,2.4,81,32.3
NJ-005,Burlington County,New Jersey,36.3,1.6,70,34.7
NJ-007,Camden County,New Jersey,36.6,1.8,72,34.8
NJ-009,Cape May County,New Jersey,38.4,2.3,82,36.1
NJ-011,Cumberland County,New Jersey,37.5,2.5,83,35
NJ-013,Essex County,New Jersey,35.2,2.6,86,32.6
NJ-015,Gloucester County,New Jersey,37.2,2.3,81,34.9
NJ-017,Hudson County,New Jersey,37.3,2.9,91,34.4
NJ-019,Hunterdon County,New Jersey,31.4,1,63,30.4
NJ-021,Mercer County,New Jersey,34.8,1.7,67,33.1
NJ-023,Middlesex County,New Jersey,35.6,2.2,78,33.4
NJ-025,Monmouth County,New Jersey,36,2.2,76,33.8
NJ-027,Morris County,New Jersey,31.3,1.4,70,29.9
NJ-029,Ocean County,New Jersey,36.4,1.8,73,34.6
NJ-031,Passaic County,New Jersey,31.8,1.6,70,30.2
NJ-033,Salem County,New Jersey,37.4,2.4,84,35
NJ-035,Somerset County,New Jersey,33.3,1.5,69,31.8
NJ-037,Sussex County,New Jersey,29.5,1.2,69,28.3
NJ-039,Union County,New Jersey,35.8,2.6,85,33.2
NJ-041,Warren County,New Jersey,30.2,1.3,68,28.9
NM-001,Bernalillo County,New Mexico,38.8,6.1,127,32.7
NM-003,Catron County,New Mexico,36.5,5.4,128,31.1
NM-005,Chaves County,New Mexico,47,7.8,129,39.2
NM-006,Cibola County,New Mexico,34.5,4.5,120,30
NM-007,Colfax County,New Mexico,35.4,6.2,125,29.2
NM-009,Curry County,New Mexico,44.6,8.7,129,35.9
NM-011,De Baca County,New Mexico,45,7.7,129,37.3
NM-013,Dona Ana County,New Mexico,47.9,6.6,129,41.3
NM-015,Eddy County,New Mexico,49.2,7.3,129,41.9
NM-017,Grant County,New Mexico,44.8,6.6,130,38.2
NM-019,Guadalupe County,New Mexico,42.6,7.2,128,35.4
NM-021,Harding County,New Mexico,40.6,6.9,127,33.7
NM-023,Hidalgo County,New Mexico,47.2,6,129,41.2
NM-025,Lea County,New Mexico,47.9,7.2,129,40.7
NM-027,Lincoln County,New Mexico,43.3,7.3,129,36
NM-028,Los Alamos County,New Mexico,34.3,6.5,129,27.8
NM-029,Luna County,New Mexico,48,6.7,130,41.4
NM-031,McKinley County,New Mexico,34.1,4.9,117,29.2
NM-033,Mora County,New Mexico,36.2,6.6,125,29.6
NM-035,Otero County,New Mexico,45.8,6.9,129,38.9
NM-037,Quay County,New Mexico,43.9,7.4,129,36.5
NM-039,Rio Arriba County,New Mexico,31.4,6,124,25.4
NM-041,Roosevelt County,New Mexico,45.1,7.8,129,37.3
NM-043,Sandoval County,New Mexico,36,6.2,127,29.8
NM-045,San Juan County,New Mexico,34.9,5.6,126,29.3
NM-047,San Miguel County,New Mexico,40.1,6.6,127,33.5
NM-049,Santa Fe County,New Mexico,35.9,6.1,127,29.8
NM-051,Sierra County,New Mexico,45.1,6.7,129,38.4
NM-053,Socorro County,New Mexico,40.6,6.3,128,34.3
NM-055,Taos County,New Mexico,30.1,6.4,126,23.7
NM-057,Torrance County,New Mexico,38.6,7.3,129,31.3
NM-059,Union County,New Mexico,39.1,6.4,125,32.7
NM-061,Valencia County,New Mexico,39.6,5.4,124,34.2
NY-001,Albany County,New York,27.8,1.6,71,26.2
NY-003,Allegany County,New York,27.9,2.3,79,25.6
NY-005,Bronx County,New York,37.6,3.1,94,34.5
NY-007,Broome County,New York,27.5,1.2,69,26.3
NY-009,Cattaraugus County,New York,27.7,1.9,78,25.8
NY-011,Cayuga County,New York,29.7,2.7,86,27
NY-013,Chautauqua County,New York,29.4,2.2,80,27.2
NY-015,Chemung County,New York,28,1.4,73,26.6
NY-017,Chenango County,New York,25.9,1,67,24.9
NY-019,Clinton County,New York,24.4,4.4,100,20
NY-021,Columbia County,New York,28.7,1.5,68,27.2
NY-023,Cortland County,New York,26.5,1.6,73,24.9
NY-025,Delaware County,New York,25.2,0.7,60,24.5
NY-027,Dutchess County,New York,30.4,2.4,83,28
NY-029,Erie County,New York,30.6,3,88,27.6
NY-031,Essex County,New York,22.2,2.9,90,19.3
NY-033,Franklin County,New York,22.6,4.2,98,18.4
NY-035,Fulton County,New York,25.7,2.7,87,23
NY-037,Genesee County,New York,29.9,2.9,86,27
NY-039,Greene County,New York,26.6,1.2,65,25.4
NY-041,Hamilton County,New York,21.8,2.9,88,18.9
NY-043,Herkimer County,New York,23.2,2.4,79,20.8
NY-045,Jefferson County,New York,26.6,4.2,95,22.4
NY-047,Kings County,New York,38.2,3.1,96,35.1
NY-049,Lewis County,New York,23.6,3.6,91,20
NY-051,Livingston County,New York,30.6,3.3,92,27.3
NY-053,Madison County,New York,26.2,1.9,73,24.3
NY-055,Monroe County,New York,31.4,3.4,94,28
NY-057,Montgomery County,New York,27.2,1.8,77,25.4
NY-059,Nassau County,New York,37.7,3.3,98,34.4
NY-061,New York County,New York,37.8,3.1,94,34.7
NY-063,Niagara County,New York,31.2,2.7,84,28.5
NY-065,Oneida County,New York,26,2.4,81,23.6
NY-067,Onondaga County,New York,29.5,3.2,93,26.3
NY-069,Ontario County,New York,30.1,2.8,87,27.3
NY-071,Orange County,New York,30.1,1.7,72,28.4
NY-073,Orleans County,New York,30.6,2.7,84,27.9
NY-075,Oswego County,New York,29.2,4.1,100,25.1
NY-077,Otsego County,New York,25,0.7,59,24.3
NY-079,Putnam County,New York,31.5,2.8,89,28.7
NY-081,Queens County,New York,38.2,3.3,99,34.9
NY-083,Rensselaer County,New York,28,2.4,80,25.6
NY-085,Richmond County,New York,37.4,2.8,88,34.6
NY-087,Rockland County,New York,33.1,2.5,84,30.6
NY-089,St. Lawrence County,New York,24.2,4.4,97,19.8
NY-091,Saratoga County,New York,27.6,3.5,94,24.1
NY-093,Schenectady County,New York,27.8,2.3,81,25.5
NY-095,Schoharie County,New York,25.6,0.9,64,24.7
NY-097,Schuyler County,New York,27.9,1.7,75,26.2
NY-099,Seneca County,New York,30.2,2.3,82,27.9
NY-101,Steuben County,New York,27.9,2,77,25.9
NY-103,Suffolk County,New York,36.5,2.9,93,33.6
NY-105,Sullivan County,New York,27.1,1.3,67,25.8
NY-107,Tioga County,New York,28.3,1.6,74,26.7
NY-109,Tompkins County,New York,27.8,1.5,73,26.3
NY-111,Ulster County,New York,28.2,1.6,70,26.6
NY-113,Warren County,New York,24.7,3.4,93,21.3
NY-115,Washington County,New York,27.2,3.4,93,23.8
NY-117,Wayne County,New York,31.1,3.2,92,27.9
NY-119,Westchester County,New York,34.2,3.1,95,31.1
NY-121,Wyoming County,New York,28.4,2.9,85,25.5
NY-123,Yates County,New York,29.4,2.4,82,27
NC-001,Alamance County,North Carolina,42.8,2.5,91,40.3
NC-003,Alexander County,North Carolina,41.8,2.3,94,39.5
NC-005,Alleghany County,North Carolina,37.4,3.4,100,34
NC-007,Anson County,North Carolina,45.6,2.5,91,43.1
NC-009,Ashe County,North Carolina,36,2.6,89,33.4
NC-011,Avery County,North Carolina,35.4,2.1,87,33.3
NC-013,Beaufort County,North Carolina,47.2,2.6,94,44.6
NC-015,Bertie County,North Carolina,44.8,2.4,93,42.4
